Taxa,Year,Prod,FMFO_inclusion,Animal_inclusion,Crop_inclusion,Total_prod,TL_taxon_year
Milkfish,2001,495000,0.1,0.009943132502722708,0.8900568674972773,15193000,2.2240482650555053
Milkfish,2002,528000,0.09,0.011147950925945853,0.8988520490740541,16208000,2.200464297314369
Milkfish,2003,552000,0.08,0.012498044443795812,0.9075019555562042,18601000,2.1865706682363184
Milkfish,2004,574000,0.07,0.014010844111779282,0.9159891558882207,19443000,2.1640070022870823
Milkfish,2005,595000,0.06,0.015705862171136044,0.9242941378288639,20982000,2.144734903047207
Milkfish,2006,585000,0.04,0.01760493930335945,0.9423950606966406,22719000,2.105299869486476
Milkfish,2007,667000,0.04,0.019732521113802297,0.9402674788861977,24892000,2.1072194694622386
Milkfish,2010,809000,0.04,0.027776576535943644,0.9322234234640564,30414000,2.1154346330812714
Milkfish,2015,1188000,0.03,0.0490546809999979,0.9209453190000021,43233000,2.117533642750691
FW crustaceans,1995,104000,0.27,0.005000000000002076,0.7249999999999979,9092000,2.576761752761406
FW crustaceans,1996,146000,0.27,0.005318764308463745,0.7246812356915362,10293000,2.574715459049809
FW crustaceans,1997,193000,0.26,0.0056576756136653035,0.7343423243863347,11477000,2.5556428014157304
FW crustaceans,1998,229000,0.26,0.006017996216761515,0.7339820037832385,12502000,2.57048224011291
FW crustaceans,1999,303000,0.25,0.006401066815697381,0.7435989331843027,13850000,2.5286172917562446
FW crustaceans,2000,429000,0.25,0.00680831133119726,0.7431916886688028,13944000,2.525849278577817
FW crustaceans,2001,521000,0.24,0.007241242027197273,0.7527587579728028,15193000,2.519431332555941
FW crustaceans,2002,577000,0.24,0.0077014649435142935,0.7522985350564857,16208000,2.510342414893409
FW crustaceans,2003,785000,0.23,0.008190685659635022,0.761809314340365,18601000,2.5058753598515104
FW crustaceans,2004,846000,0.23,0.008710715409612768,0.7612892845903872,19443000,2.497822743604128
FW crustaceans,2005,914000,0.215,0.009263477569276878,0.7757365224307231,20982000,2.466915954520802
FW crustaceans,2006,955000,0.165,0.009851014538219108,0.8251489854617808,22719000,2.365315665534762
FW crustaceans,2007,1272000,0.155,0.010475495040362548,0.8345245049596375,24892000,2.342888617462991
FW crustaceans,2010,1692000,0.145,0.01259434580453468,0.8424056541954653,30414000,2.321545226367521
FW crustaceans,2015,2115000,0.11,0.017109831800002685,0.8728901681999973,43233000,2.251923625032545
